Species,Brood,"signif(mean(Year), 1)",min(Year),"quantile(Year, 0.1)","quantile(Year, 0.9)",max(Year),n,EightyQuantileRange,male,Both,female,Perc_Undetermined
Aglais urticae,Brood2,2000,1887,1911,1969,1997,1207,58,83,90,1034,7.456503728251864
Aglais urticae,Brood1,2000,1890,1910.2,1970.7,2005,312,60.5,15,17,280,5.448717948717949
Anthocharis cardamines,Univoltine,2000,1886,1900,1969,1988,1783,69,912,375,496,21.031968592260235
Apatura iris,Univoltine,2000,1888,1898,1959,2000,171,61,64,32,75,18.71345029239766
Aphantopus hyperantus,Univoltine,2000,1887,1908,1963,1992,2297,55,498,1648,151,71.74575533304309
Aporia crataegi,Univoltine,2000,1888,1898,1908,1971,163,10,80,83,0,50.920245398773005
Argynnis adippe,Univoltine,2000,1887,1898,1955,1983,1173,57,523,324,326,27.62148337595908
Argynnis aglaja,Univoltine,2000,1887,1901,1965,1991,1209,64,692,158,359,13.068651778329198
Argynnis paphia,Univoltine,2000,1886,1897,1957,1998,1662,60,624,231,807,13.898916967509026
Aricia agestis,Brood2,2000,1903,1918,1960,1977,101,42,3,40,58,39.603960396039604
Aricia agestis,Brood1,2000,1886,1904,1958,1997,2136,54,107,655,1374,30.664794007490638
Boloria euphrosyne,Univoltine,2000,1886,1901,1956,1992,2175,55,1836,300,39,13.793103448275861
Boloria selene,Univoltine,2000,1886,1904,1957,1994,2239,53,1787,368,84,16.43590888789638
Callophrys rubi,Univoltine,2000,1886,1902,1953.3999999999999,1991,1037,51.399999999999864,434,340,263,32.78688524590164
Carterocephalus palaemon,Univoltine,2000,1890,1901,1949.6,1967,685,48.59999999999991,118,93,474,13.576642335766424
Celastrina argiolus,Brood1,2000,1886,1901,1958,1990,1136,57,518,231,387,20.33450704225352
Celastrina argiolus,Brood2,2000,1886,1908,1969,1991,308,61,118,46,144,14.935064935064934
Coenonympha pamphilus,Brood2,2000,1886,1911,1965,1990,831,54,201,313,317,37.66546329723225
Coenonympha pamphilus,Brood1,2000,1886,1909,1966,1993,2264,57,604,819,841,36.17491166077738
Coenonympha tullia,Univoltine,2000,1890,1908,1967,1993,1518,59,397,779,342,51.31752305665349
Cupido minimus,Univoltine,2000,1886,1904,1951,1986,1498,47,74,433,991,28.90520694259012
Erynnis tages,Univoltine,2000,1886,1903,1964,1989,906,61,211,147,548,16.225165562913908
Euphydryas aurinia,Univoltine,2000,1888,1907,1967,1992,2184,60,1632,259,293,11.85897435897436
Gonepteryx rhamni,Univoltine,2000,1888,1898,1961,1989,579,63,250,103,226,17.78929188255613
Hamearis lucina,Univoltine,2000,1886,1902,1953,1999,1066,51,87,190,789,17.823639774859288
Hesperia comma,Univoltine,2000,1892,1903,1961,1981,708,58,295,137,276,19.350282485875706
Hipparchia semele,Univoltine,2000,1886,1903,1972,1993,1984,69,728,620,636,31.25
Inachis io,Univoltine,2000,1886,1905,1963,1996,583,58,24,49,510,8.404802744425385
Lasiommata megera,Brood2,2000,1890,1908,1961,2004,623,53,263,83,277,13.32263242375602
Lasiommata megera,Brood1,2000,1887,1906,1965,1981,621,59,362,83,176,13.365539452495975
Leptidea sinapis,Brood2,2000,1887,1927,1952,1985,96,25,24,34,38,35.416666666666664
Leptidea sinapis,Brood1,2000,1887,1901,1963,2000,1018,62,515,230,273,22.593320235756384
Limenitis camilla,Univoltine,2000,1888,1901,1951,1990,832,50,334,227,271,27.283653846153847
Lycaena phlaeas,Brood1,2000,1887,1909,1955,1992,1495,46,176,191,1128,12.775919732441471
Lycaena phlaeas,Brood2,2000,1886,1909,1959,1991,2380,50,276,330,1774,13.865546218487395
Lysandra bellargus,Brood2,2000,1886,1912,1952,1989,3261,40,737,1186,1338,36.36921189819074
Lysandra bellargus,Brood1,2000,1886,1911,1953,1997,4388,42,1390,1439,1559,32.79398359161349
Lysandra coridon,Univoltine,2000,1886,1916,1957,1997,20374,41,4777,9761,5836,47.90909983312064
Maculinea arion,Univoltine,2000,1886,1900,1947,1958,1471,47,532,207,732,14.07205982324949
Maniola jurtina,Univoltine,2000,1886,1914,1965,1998,4898,51,1573,1347,1978,27.50102082482646
Melanargia galathea,Univoltine,2000,1886,1907,1968,1987,2277,61,99,665,1513,29.205094422485725
Melitaea athalia,Univoltine,2000,1887,1909,1951,1982,1725,42,663,471,591,27.304347826086957
Melitaea cinxia,Univoltine,2000,1887,1900.1000000000001,1970.8999999999999,1987,792,70.79999999999973,235,268,289,33.83838383838384
Nymphalis polychloros,Univoltine,2000,1886,1896,1948,1993,286,52,7,27,252,9.44055944055944
Ochlodes venata,Univoltine,2000,1887,1899,1956.9,1989,1072,57.90000000000009,599,99,374,9.235074626865671
Papilio machaon,Univoltine,2000,1886,1896,1968,1984,276,72,7,223,46,80.79710144927536
Pararge aegeria,Brood1,2000,1887,1914,1961,1998,1003,47,316,236,451,23.529411764705884
Pararge aegeria,Brood2,2000,1887,1910,1967,2004,392,57,217,76,99,19.387755102040817
Pieris brassicae,Brood2,2000,1886,1908.2,1979,1991,273,70.79999999999995,106,71,96,26.007326007326007
Pieris brassicae,Brood1,2000,1887,1900.3,1979,1986,464,78.70000000000005,173,111,180,23.92241379310345
Pieris napi,Brood2,2000,1887,1905,1963,1996,845,58,298,183,364,21.65680473372781
Pieris napi,Brood1,2000,1887,1906,1973,1998,852,67,444,174,234,20.422535211267604
Pieris rapae,Brood2,2000,1886,1900.5,1953,1985,306,52.5,98,43,165,14.052287581699346
Pieris rapae,Brood1,2000,1886,1904,1970,1986,912,66,373,186,353,20.394736842105264
Plebejus argus,Univoltine,2000,1887,1914,1954,2006,7726,40,2283,2854,2589,36.94020191560963
Polygonia c-album,Brood1,2000,1895,1912,1946.1,1986,210,34.09999999999991,82,89,39,42.38095238095238
Polygonia c-album,Brood2,2000,1886,1914,1959.6,1997,895,45.59999999999991,339,314,242,35.08379888268156
Polyommatus icarus,Brood1,2000,1886,1912,1958,1995,3812,46,850,1301,1661,34.12906610703043
Polyommatus icarus,Brood2,2000,1886,1911,1959.6,1994,4005,48.59999999999991,664,1624,1717,40.54931335830212
Pyrgus malvae,Univoltine,2000,1886,1902,1955,1989,1389,53,97,259,1033,18.646508279337652
Pyronia tithonus,Univoltine,2000,1888,1906,1966,1999,2461,60,1065,538,858,21.861032100772043
Satyrium pruni,Univoltine,2000,1886,1904,1948,1966,483,44,176,152,155,31.469979296066253
Satyrium w-album,Univoltine,2000,1888,1900,1954,1977,411,54,158,143,110,34.79318734793188
Thecla betulae,Univoltine,2000,1887,1899,1937.5,2005,276,38.5,119,48,109,17.391304347826086
Thymelicus acteon,Univoltine,2000,1889,1897,1961,1986,596,64,300,72,224,12.080536912751677
Thymelicus lineola,Univoltine,2000,1890,1902,1961.3,1997,748,59.299999999999955,417,83,248,11.096256684491978
Thymelicus sylvestris,Univoltine,2000,1886,1900.5,1968,1991,1006,67.5,550,88,368,8.747514910536779
